index_number,game_name,platform,console,release_year,rating,genre,publisher,developer,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count
45,Grand Theft Auto V,PS4,PS4,2014,M,Action,Take-Two Interactive,Rockstar North,3.8,5.81,0.36,2.02,11.98,97,66,8.3,2899
45,Grand Theft Auto V,PS4,PS4,2014,M,Action,Take-Two Interactive,Rockstar North,3.8,5.81,0.36,2.02,11.98,97,58,8.1,3711
45,Grand Theft Auto V,PS4,PS4,2014,M,Action,Take-Two Interactive,Rockstar North,3.8,5.81,0.36,2.02,11.98,97,50,8.2,3994
46,Pokemon HeartGold/Pokemon SoulSilver,DS,DS,2009,,Action,Nintendo,,4.4,2.77,3.96,0.77,11.9,\N,\N,\N,\N
47,Super Mario 64,N64,N64,1996,,Platform,Nintendo,,6.91,2.85,1.91,0.23,11.89,\N,\N,\N,\N
47,Super Mario 64,N64,N64,1996,,Platform,Nintendo,,6.91,2.85,1.91,0.23,11.89,\N,\N,\N,\N
48,Gran Turismo 4,PS2,PS2,2004,E,Racing,Sony Computer Entertainment,Polyphony Digital,3.01,0.01,1.1,7.53,11.66,89,74,8.5,272
49,Super Mario Galaxy,Wii,Wii,2007,E,Platform,Nintendo,Nintendo,6.16,3.4,1.2,0.76,11.52,97,73,8.9,2147
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,3DS,2014,,Role-Playing,Nintendo,,4.23,3.37,3.08,0.65,11.33,\N,\N,\N,\N
51,Super Mario Land 2: 6 Golden Coins,GB,GB,1992,,Adventure,Nintendo,,6.16,2.04,2.69,0.29,11.18,\N,\N,\N,\N
52,Grand Theft Auto IV,X360,X360,2008,M,Action,Take-Two Interactive,Rockstar Toronto,6.76,3.1,0.14,1.03,11.02,90,40,6.6,2299
52,Grand Theft Auto IV,X360,X360,2008,M,Action,Take-Two Interactive,Rockstar North,6.76,3.1,0.14,1.03,11.02,98,64,7.5,2833
52,Grand Theft Auto IV,X360,X360,2008,M,Action,Take-Two Interactive,Rockstar North,6.76,3.1,0.14,1.03,11.02,98,86,7.9,2951
53,Gran Turismo,PS,PS,1997,E,Racing,Sony Computer Entertainment,Polyphony Digital,4.02,3.87,2.54,0.52,10.95,96,16,8.7,138
54,Super Mario 3D Land,3DS,3DS,2011,E,Platform,Nintendo,Nintendo,4.89,2.99,2.13,0.78,10.79,90,82,8.4,921
55,Gran Turismo 5,PS3,PS3,2010,E,Racing,Sony Computer Entertainment,Polyphony Digital,2.96,4.88,0.81,2.12,10.77,84,82,7.5,1112
56,Call of Duty: Modern Warfare 2,PS3,PS3,2009,M,Shooter,Activision,Infinity Ward,4.99,3.69,0.38,1.63,10.69,86,40,4.2,6430
56,Call of Duty: Modern Warfare 2,PS3,PS3,2009,M,Shooter,Activision,Infinity Ward,4.99,3.69,0.38,1.63,10.69,94,67,6.3,2073
56,Call of Duty: Modern Warfare 2,PS3,PS3,2009,M,Shooter,Activision,Infinity Ward,4.99,3.69,0.38,1.63,10.69,94,100,6.3,2698
