Number of Blanks,Rank,Name,Platform,Console,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
0,22,Super Mario Land,GB,GB,1989,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14
0,23,Super Mario Bros. 3,NES,NES,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28
0,24,Grand Theft Auto V,X360,X360,2013,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38
0,25,Grand Theft Auto: Vice City,PS2,PS2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15
0,26,Pokemon Ruby/Pokemon Sapphire,GBA,GBA,2002,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85
0,27,Pokemon Black/Pokemon White,DS,DS,2010,Role-Playing,Nintendo,5.57,3.28,5.65,0.82,15.32
0,28,Brain Age 2: More Training in Minutes a Day,DS,DS,2005,Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3
0,29,Gran Turismo 3: A-Spec,PS2,PS2,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98
0,30,Call of Duty: Modern Warfare 3,X360,X360,2011,Shooter,Activision,9.03,4.28,0.13,1.32,14.76
0,31,Pokémon Yellow: Special Pikachu Edition,GB,GB,1998,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64
0,32,Call of Duty: Black Ops,X360,X360,2010,Shooter,Activision,9.67,3.73,0.11,1.13,14.64
0,33,Pokemon X/Pokemon Y,3DS,3DS,2013,Role-Playing,Nintendo,5.17,4.05,4.34,0.79,14.35
0,34,Call of Duty: Black Ops 3,PS4,PS4,2015,Shooter,Activision,5.77,5.81,0.35,2.31,14.24
0,35,Call of Duty: Black Ops II,PS3,PS3,2012,Shooter,Activision,4.99,5.88,0.65,2.52,14.03
0,36,Call of Duty: Black Ops II,X360,X360,2012,Shooter,Activision,8.25,4.3,0.07,1.12,13.73
0,37,Call of Duty: Modern Warfare 2,X360,X360,2009,Shooter,Activision,8.52,3.63,0.08,1.29,13.51
0,38,Call of Duty: Modern Warfare 3,PS3,PS3,2011,Shooter,Activision,5.54,5.82,0.49,1.62,13.46
0,39,Grand Theft Auto III,PS2,PS2,2001,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1
0,40,Super Smash Bros. Brawl,Wii,Wii,2008,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04
0,41,Call of Duty: Black Ops,PS3,PS3,2010,Shooter,Activision,5.98,4.44,0.48,1.83,12.73
0,42,Animal Crossing: Wild World,DS,DS,2005,Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27
0,43,Mario Kart 7,3DS,3DS,2011,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21
0,44,Halo 3,X360,X360,2007,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14
0,45,Grand Theft Auto V,PS4,PS4,2014,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98
0,46,Pokemon HeartGold/Pokemon SoulSilver,DS,DS,2009,Action,Nintendo,4.4,2.77,3.96,0.77,11.9
0,47,Super Mario 64,N64,N64,1996,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89
0,48,Gran Turismo 4,PS2,PS2,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66
0,49,Super Mario Galaxy,Wii,Wii,2007,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52
0,50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,3DS,2014,Role-Playing,Nintendo,4.23,3.37,3.08,0.65,11.33
0,51,Super Mario Land 2: 6 Golden Coins,GB,GB,1992,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18
0,52,Grand Theft Auto IV,X360,X360,2008,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02
0,53,Gran Turismo,PS,PS,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95
0,54,Super Mario 3D Land,3DS,3DS,2011,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79
0,55,Gran Turismo 5,PS3,PS3,2010,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77
0,56,Call of Duty: Modern Warfare 2,PS3,PS3,2009,Shooter,Activision,4.99,3.69,0.38,1.63,10.69
0,57,Grand Theft Auto IV,PS3,PS3,2008,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57
0,58,Super Mario All-Stars,SNES,SNES,1993,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55
0,59,Pokemon FireRed/Pokemon LeafGreen,GBA,GBA,2004,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49
0,60,Super Mario 64,DS,DS,2004,Platform,Nintendo,5.08,3.11,1.25,0.98,10.42
0,61,Just Dance 3,Wii,Wii,2011,Misc,Ubisoft,6.05,3.15,0,1.07,10.26
0,62,Call of Duty: Ghosts,X360,X360,2013,Shooter,Activision,6.72,2.63,0.04,0.82,10.21
0,63,Halo: Reach,X360,X360,2010,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88
0,64,Mario Kart 64,N64,N64,1996,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87
0,65,New Super Mario Bros. 2,3DS,3DS,2012,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82
0,66,Halo 4,X360,X360,2012,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76
0,67,Final Fantasy VII,PS,PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72
0,68,Call of Duty: Ghosts,PS3,PS3,2013,Shooter,Activision,4.09,3.73,0.38,1.38,9.59
0,69,Just Dance 2,Wii,Wii,2010,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52
