Number of blanks,Name,Platform,Console,Year_of_Release,Genre,Publisher,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
0,Call of Duty: Ghosts,X360,X360,2013,Shooter,Activision,73,29,2.6,2117,Infinity Ward,M
0,Just Dance 3,Wii,Wii,2011,Misc,Ubisoft,74,15,7.8,16,Ubisoft,E10+
0,New Super Mario Bros. 2,3DS,3DS,2012,Platform,Nintendo,78,70,7.2,424,Nintendo,E
0,Mario Kart 64,N64,N64,1996,Racing,Nintendo,,,,,,
0,Halo: Reach,X360,X360,2010,Shooter,Microsoft Game Studios,91,99,7.9,2045,Bungie,M
0,Final Fantasy VII,PS,PS,1997,Role-Playing,Sony Computer Entertainment,92,20,9.2,1282,SquareSoft,T
0,Halo 4,X360,X360,2012,Shooter,Microsoft Game Studios,87,87,7.0,3260,343 Industries,M
0,Gran Turismo 2,PS,PS,1999,Racing,Sony Computer Entertainment,93,23,9.0,135,Polyphony Digital,T
0,Just Dance 2,Wii,Wii,2010,Misc,Ubisoft,74,24,7.3,24,Ubisoft,E10+
0,Call of Duty: Ghosts,PS3,PS3,2013,Shooter,Activision,71,10,2.6,1047,Infinity Ward,M
0,Call of Duty 4: Modern Warfare,X360,X360,2007,Shooter,Activision,94,70,8.4,1320,Infinity Ward,M
0,Donkey Kong Country,SNES,SNES,1994,Platform,Nintendo,,,,,,
0,Minecraft,X360,X360,2013,Misc,Microsoft Game Studios,,,,,,
0,Animal Crossing: New Leaf,3DS,3DS,2012,Simulation,Nintendo,88,70,8.7,626,Nintendo,E
0,Mario Party DS,DS,DS,2007,Misc,Nintendo,72,27,7.8,85,Hudson Soft,E
0,The Elder Scrolls V: Skyrim,X360,X360,2011,Role-Playing,Bethesda Softworks,96,89,8.4,3589,Bethesda Game Studios,M
0,Super Mario Kart,SNES,SNES,1992,Racing,Nintendo,,,,,,
0,FIFA 16,PS4,PS4,2015,Sports,Electronic Arts,82,42,4.3,896,EA Sports,E
0,Halo 2,XB,XB,2004,Shooter,Microsoft Game Studios,95,91,8.2,1218,Bungie Software,M
0,Wii Party,Wii,Wii,2010,Misc,Nintendo,68,42,7.4,54,Nd Cube,E
0,Mario Party 8,Wii,Wii,2007,Misc,Nintendo,62,41,6.3,190,Hudson,E
0,FIFA Soccer 13,PS3,PS3,2012,Action,Electronic Arts,88,37,6.6,348,Electronic Arts,E
0,GoldenEye 007,N64,N64,1997,Shooter,Nintendo,,,,,,
0,Pokemon Black 2/Pokemon White 2,DS,DS,2012,Role-Playing,Nintendo,,,,,,
0,Final Fantasy X,PS2,PS2,2001,Role-Playing,Sony Computer Entertainment,92,53,8.7,1056,SquareSoft,T
0,The Sims 3,PC,PC,2009,Simulation,Electronic Arts,86,75,7.6,886,The Sims Studio,T
0,Mario & Sonic at the Olympic Games,Wii,Wii,2007,Sports,Sega,,,,,,
0,Star Wars Battlefront (2015),PS4,PS4,2015,Shooter,Electronic Arts,,,,,,
0,Final Fantasy VIII,PS,PS,1999,Role-Playing,SquareSoft,90,24,8.6,644,SquareSoft,T
0,Pac-Man,2600,Atari2600,1982,Puzzle,Atari,,,,,,
0,Pokémon Platinum Version,DS,DS,2008,Role-Playing,Nintendo,83,46,8.5,203,Game Freak,E
0,Grand Theft Auto: Liberty City Stories,PSP,PSP,2005,Action,Take-Two Interactive,88,65,7.6,451,Rockstar Leeds,M
0,Call of Duty: Advanced Warfare,PS4,PS4,2014,Shooter,Activision,83,39,5.7,1443,Sledgehammer Games,M
0,The Legend of Zelda: Ocarina of Time,N64,N64,1998,Action,Nintendo,,,,,,
0,FIFA 17,PS4,PS4,2016,Sports,Electronic Arts,85,41,5.0,398,"EA Sports, EA Vancouver",E
0,Crash Bandicoot 2: Cortex Strikes Back,PS,PS,1997,Platform,Sony Computer Entertainment,,,,,,
0,Super Smash Bros. for Wii U and 3DS,3DS,3DS,2014,Fighting,Nintendo,,,,,,
0,Super Mario Galaxy 2,Wii,Wii,2010,Platform,Nintendo,97,87,9.1,1854,Nintendo EAD Tokyo,E
0,Super Mario Bros. 2,NES,NES,1988,Platform,Nintendo,,,,,,
0,Call of Duty: Black Ops 3,XOne,XOne,2015,Shooter,Activision,,,,,,
0,Call of Duty: World at War,X360,X360,2008,Shooter,Activision,84,84,7.6,580,Treyarch,M
0,Battlefield 3,X360,X360,2011,Shooter,Electronic Arts,84,57,7.4,2142,EA DICE,M
0,Need for Speed Underground,PS2,PS2,2003,Racing,Electronic Arts,85,33,8.6,171,EA Black Box,E
0,Just Dance,Wii,Wii,2009,Misc,Ubisoft,49,21,8.0,110,Ubisoft Paris,E10+
0,Battlefield 3,PS3,PS3,2011,Shooter,Electronic Arts,85,38,7.5,1761,EA DICE,M
0,Fallout 4,PS4,PS4,2015,Role-Playing,Bethesda Softworks,87,58,6.5,4228,Bethesda Game Studios,M
0,Tekken 3,PS,PS,1998,Fighting,Sony Computer Entertainment,96,15,9.1,367,Namco,T
0,The Legend of Zelda: Twilight Princess,Wii,Wii,2006,Action,Nintendo,95,73,9.0,1658,Nintendo,T
0,Pokemon Sun/Moon,3DS,3DS,2016,Role-Playing,Nintendo,,,,,,
0,Crash Bandicoot 3: Warped,PS,PS,1998,Platform,Sony Computer Entertainment,91,12,8.9,432,Naughty Dog,E
0,Mario Kart 8,WiiU,WiiU,2014,Racing,Nintendo,88,82,9.1,1599,Nintendo,E
0,Super Smash Bros. Melee,GC,GC,2001,Fighting,Nintendo,92,38,9.1,568,HAL Labs,T
0,Mario Kart: Double Dash!!,GC,GC,2003,Racing,Nintendo,,,,,,
0,Need for Speed Underground 2,PS2,PS2,2004,Racing,Electronic Arts,82,39,8.6,132,EA Canada,E
0,Medal of Honor: Frontline,PS2,PS2,2002,Shooter,Electronic Arts,88,29,8.5,135,EA LA,T
0,Crash Bandicoot,PS,PS,1996,Platform,Sony Computer Entertainment,,,,,,
0,Just Dance 4,Wii,Wii,2012,Misc,Ubisoft,74,10,7.3,28,Ubisoft,E10+
0,Gears of War 2,X360,X360,2008,Shooter,Microsoft Game Studios,93,90,7.7,2739,Epic Games,M
0,Uncharted 3: Drake's Deception,PS3,PS3,2011,Action,Sony Computer Entertainment,92,97,8.3,3712,Naughty Dog,T
0,Zumba Fitness,Wii,Wii,2010,Sports,505 Games,,,,,"Pipeworks Software, Inc.",E
0,Call of Duty 4: Modern Warfare,PS3,PS3,2007,Shooter,Activision,94,44,8.4,993,Infinity Ward,M
0,Uncharted 2: Among Thieves,PS3,PS3,2009,Action,Sony Computer Entertainment,96,105,8.8,5187,Naughty Dog,T
0,FIFA 12,PS3,PS3,2011,Sports,Electronic Arts,,,,,,
0,Big Brain Academy,DS,DS,2005,Misc,Nintendo,74,45,7.4,27,Nintendo,E
0,The Legend of Zelda,NES,NES,1986,Action,Nintendo,,,,,,
0,Red Dead Redemption,PS3,PS3,2010,Action,Take-Two Interactive,95,73,8.8,2456,Rockstar San Diego,M
0,FIFA 14,PS3,PS3,2013,Sports,Electronic Arts,86,37,4.3,576,EA Canada,E
0,Assassin's Creed III,PS3,PS3,2012,Action,Ubisoft,85,41,6.9,1307,Ubisoft,M
0,Donkey Kong Country Returns,Wii,Wii,2010,Platform,Nintendo,87,77,8.6,368,Retro Studios,E
0,Halo: Combat Evolved,XB,XB,2001,Shooter,Microsoft Game Studios,97,68,8.6,1283,Bungie Software,M
0,The Elder Scrolls V: Skyrim,PS3,PS3,2011,Role-Playing,Bethesda Softworks,92,16,6.4,2527,Bethesda Game Studios,M
0,Pokémon Emerald Version,GBA,GBA,2004,Role-Playing,Nintendo,76,28,9.0,222,Game Freak,E
0,Kingdom Hearts,PS2,PS2,2002,Role-Playing,Sony Computer Entertainment,85,46,8.8,597,SquareSoft,E
0,Pokémon Crystal Version,GB,GB,2000,Role-Playing,Nintendo,,,,,,
0,Halo 3: ODST,X360,X360,2009,Shooter,Microsoft Game Studios,83,94,7.1,1163,"Bungie Software, Bungie",M
0,Red Dead Redemption,X360,X360,2010,Action,Take-Two Interactive,95,96,9.0,2316,Rockstar San Diego,M
0,Super Mario Sunshine,GC,GC,2002,Platform,Nintendo,92,61,8.6,439,Nintendo,E
0,Street Fighter II: The World Warrior,SNES,SNES,1992,Fighting,Capcom,,,,,,
0,World of Warcraft,PC,PC,2004,Role-Playing,Activision,93,57,7.3,2182,Blizzard Entertainment,T
0,Driver,PS,PS,1999,Action,GT Interactive,87,22,8.1,78,Reflections Interactive,T
0,Gears of War 3,X360,X360,2011,Shooter,Microsoft Game Studios,91,96,7.8,1504,Epic Games,M
0,Kinect Sports,X360,X360,2010,Sports,Microsoft Game Studios,73,51,7.4,95,Rare Ltd.,E10+
0,Gears of War,X360,X360,2006,Shooter,Microsoft Game Studios,94,88,8.3,2295,Epic Games,M
0,FIFA 15,PS4,PS4,2014,Sports,Electronic Arts,82,47,5.7,988,EA Sports,E
0,Metal Gear Solid 2: Sons of Liberty,PS2,PS2,2001,Action,Konami Digital Entertainment,96,42,8.7,1026,KCEJ,M
0,Sonic the Hedgehog 2,GEN,GEN,1992,Platform,Sega,,,,,,
0,Metal Gear Solid,PS,PS,1998,Action,Konami Digital Entertainment,94,20,9.4,918,KCEJ,M
0,Metal Gear Solid 4: Guns of the Patriots,PS3,PS3,2008,Action,Konami Digital Entertainment,94,82,8.7,3558,Kojima Productions,M
0,Final Fantasy XII,PS2,PS2,2006,Role-Playing,Square Enix,92,64,7.6,972,Square Enix,T
0,The Last of Us,PS3,PS3,2013,Action,Sony Computer Entertainment Europe,95,98,9.1,8003,Naughty Dog,M
0,LittleBigPlanet,PS3,PS3,2008,Platform,Sony Computer Entertainment,95,85,6.8,5311,"SCE/WWS, Media Molecule",E
0,Resident Evil 2,PS,PS,1998,Action,Virgin Interactive,89,13,9.2,364,Capcom,M
0,Dragon Quest IX: Sentinels of the Starry Skies,DS,DS,2009,Role-Playing,Nintendo,87,65,8.8,197,Level 5,E10+
0,Tekken 2,PS,PS,1996,Fighting,Sony Computer Entertainment,89,8,8.9,102,Namco,T
0,Destiny,PS4,PS4,2014,Shooter,Activision,76,95,6.1,5380,"Bungie Software, Bungie",T
0,LEGO Star Wars: The Complete Saga,Wii,Wii,2007,Action,LucasArts,80,17,8.9,62,Traveller's Tales,E10+
0,Cooking Mama,DS,DS,2006,Simulation,505 Games,67,35,7.2,21,Taito Corporation,E
0,Tetris,NES,NES,1988,Puzzle,Nintendo,,,,,,
0,Super Smash Bros.,N64,N64,1999,Fighting,Nintendo,,,,,,
0,Assassin's Creed II,PS3,PS3,2009,Action,Ubisoft,91,70,8.6,1202,Ubisoft Montreal,M
0,Assassin's Creed,X360,X360,2007,Adventure,Ubisoft,81,77,7.7,1074,Ubisoft Montreal,M
0,Forza Motorsport 3,X360,X360,2009,Racing,Microsoft Game Studios,92,90,8.0,516,Turn 10,E
0,Super Mario Advance,GBA,GBA,2001,Platform,Nintendo,84,19,7.8,41,Nintendo,E
0,Monster Hunter Freedom Unite,PSP,PSP,2008,Role-Playing,Capcom,81,48,8.7,124,Capcom,T
0,Batman: Arkham City,PS3,PS3,2011,Action,Warner Bros. Interactive Entertainment,96,42,8.6,2162,Rocksteady Studios,T
0,Grand Theft Auto V,XOne,XOne,2014,Action,Take-Two Interactive,97,14,7.9,764,Rockstar North,M
0,Mario Kart: Super Circuit,GBA,GBA,2001,Racing,Nintendo,93,24,8.3,108,Intelligent Systems,E
0,Super Mario World,GBA,GBA,2001,Platform,Nintendo,,,,,,
0,Pokemon Stadium,N64,N64,1999,Strategy,Nintendo,,,,,,
0,Crash Bandicoot: The Wrath of Cortex,PS2,PS2,2001,Platform,Universal Interactive,66,22,7.1,156,Traveller's Tales,E
0,Call of Duty: World at War,PS3,PS3,2008,Shooter,Activision,85,45,7.6,409,Treyarch,M
0,Uncharted 4: A Thief's End,PS4,PS4,2016,Shooter,Sony Computer Entertainment,93,113,7.9,7064,Naughty Dog,T
0,Dr. Mario,GB,GB,1989,Puzzle,Nintendo,,,,,,
0,Final Fantasy XIII,PS3,PS3,2009,Role-Playing,Square Enix,83,83,7.3,2483,Square Enix,T
0,Pokemon Pinball,GB,GB,1999,Misc,Nintendo,,,,,,
0,Final Fantasy IX,PS,PS,2000,Role-Playing,SquareSoft,94,22,8.9,779,SquareSoft,T
0,Assassin's Creed III,X360,X360,2012,Action,Ubisoft,84,61,6.7,1196,Ubisoft,M
0,Final Fantasy X-2,PS2,PS2,2003,Role-Playing,Electronic Arts,85,45,6.6,400,SquareSoft,T
0,Donkey Kong 64,N64,N64,1999,Platform,Nintendo,,,,,,
0,Call of Duty: Advanced Warfare,XOne,XOne,2014,Shooter,Activision,81,53,5.4,898,Sledgehammer Games,M
0,Minecraft,PS3,PS3,2014,Misc,Sony Computer Entertainment,,,,,,
0,Assassin's Creed II,X360,X360,2009,Action,Ubisoft,90,82,8.8,1305,Ubisoft Montreal,M
0,Tomb Raider II,PS,PS,1997,Action,Eidos Interactive,85,13,,,Core Design Ltd.,T
0,Madden NFL 2004,PS2,PS2,,Sports,Electronic Arts,94,29,8.5,140,EA Tiburon,E
0,Tomodachi Life,3DS,3DS,2013,Simulation,Nintendo,,,,,,
0,New Super Mario Bros. U,WiiU,WiiU,2012,Platform,Nintendo,84,70,8.1,733,Nintendo,E
0,Dragon Quest VIII: Journey of the Cursed King,PS2,PS2,2004,Role-Playing,Square Enix,89,63,8.8,245,Level 5,T
0,Super Mario Bros. 3,GBA,GBA,2003,Platform,Nintendo,,,,,,
0,Professor Layton and the Curious Village,DS,DS,2007,Puzzle,Nintendo,85,72,8.6,147,Level 5,E
0,Super Mario Land 3: Wario Land,GB,GB,1994,Platform,Nintendo,,,,,,
0,FIFA Soccer 13,X360,X360,2012,Action,Electronic Arts,90,48,6.1,403,Electronic Arts,E
0,Donkey Kong Country 2: Diddy's Kong Quest,SNES,SNES,1995,Platform,Nintendo,,,,,,
0,Diablo III,PC,PC,2012,Role-Playing,Activision,88,86,4.0,9629,Blizzard Entertainment,M
0,Medal of Honor: Rising Sun,PS2,PS2,2003,Shooter,Electronic Arts,68,30,7.6,100,EA LA,T
0,Kirby's Dream Land,GB,GB,1992,Platform,Nintendo,,,,,,
0,Microsoft Flight Simulator,PC,PC,1996,Simulation,Microsoft Game Studios,,,,,,
0,Guitar Hero II,PS2,PS2,2006,Misc,RedOctane,92,69,8.5,112,Harmonix Music Systems,T
0,Fable III,X360,X360,2010,Role-Playing,Microsoft Game Studios,80,88,6.5,604,Lionhead Studios,M
0,Mario & Sonic at the Olympic Games,DS,DS,2008,Sports,Sega,,,,,,
0,Resident Evil 5,PS3,PS3,2009,Action,Capcom,84,76,7.5,667,Capcom,M
0,The Legend of Zelda: Phantom Hourglass,DS,DS,2007,Action,Nintendo,90,57,8.0,416,Nintendo,E
0,Super Mario Bros.,GB,GB,1999,Platform,Nintendo,,,,,,
0,FIFA Soccer 11,PS3,PS3,2010,Sports,Electronic Arts,89,51,8.0,233,EA Sports,E
0,Resident Evil,PS,PS,1996,Action,Virgin Interactive,91,8,9.0,266,Capcom,M
0,Grand Theft Auto: Vice City Stories,PSP,PSP,2006,Action,Take-Two Interactive,86,50,8.0,150,Rockstar Leeds,M
0,Tony Hawk's Pro Skater,PS,PS,1999,Sports,Activision,92,18,9.2,69,Neversoft Entertainment,T
0,Warzone 2100,PS,PS,1999,Strategy,Eidos Interactive,,,,,,
0,Spyro the Dragon,PS,PS,1998,Platform,Sony Computer Entertainment,,,,,,
0,Guitar Hero III: Legends of Rock,PS2,PS2,2007,Misc,Activision,82,24,8.2,46,"Neversoft Entertainment, BudCat",T
0,Link's Crossbow Training,Wii,Wii,2007,Shooter,Nintendo,68,34,7.1,47,Nintendo,T
0,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,DS,2007,Role-Playing,Nintendo,,,,,,
0,Fallout 3,X360,X360,2008,Role-Playing,Bethesda Softworks,93,84,8.5,1655,Bethesda Game Studios,M
0,Uncharted: Drake's Fortune,PS3,PS3,2007,Action,Sony Computer Entertainment,88,66,8.1,2306,"Naughty Dog, SCE/WWS",T
0,Madden NFL 06,PS2,PS2,2005,Sports,Electronic Arts,88,29,8.0,121,EA Sports,E
0,Diddy Kong Racing,N64,N64,1997,Racing,Nintendo,,,,,,
0,Monster Hunter Freedom 3,PSP,PSP,2010,Role-Playing,Capcom,,,,,,
0,Super Smash Bros. for Wii U and 3DS,WiiU,WiiU,2014,Fighting,Nintendo,,,,,,
0,Dr. Mario,NES,NES,1990,Puzzle,Nintendo,,,,,,
0,StarCraft II: Wings of Liberty,PC,PC,2010,Strategy,Activision,93,82,8.2,3052,Blizzard Entertainment,T
0,Assassin's Creed,PS3,PS3,2007,Adventure,Ubisoft,81,40,7.3,769,Ubisoft Montreal,M
0,God of War III,PS3,PS3,2010,Action,Sony Computer Entertainment,92,101,8.7,2633,SCE Santa Monica,M
0,Crash Team Racing,PS,PS,1999,Racing,Sony Computer Entertainment,88,20,9.0,233,Naughty Dog,E
0,LEGO Star Wars: The Complete Saga,DS,DS,2007,Action,LucasArts,80,9,5.4,46,TT Fusion,E
0,Driver 2,PS,PS,2000,Action,Atari,62,14,7.7,92,Reflections Interactive,T
0,Batman: Arkham City,X360,X360,2011,Action,Warner Bros. Interactive Entertainment,94,87,8.7,1472,Rocksteady Studios,T
0,The Last of Us,PS4,PS4,2014,Action,Sony Computer Entertainment,,,,,,
0,The Simpsons: Hit & Run,PS2,PS2,2003,Racing,Vivendi Games,,,,,,
0,Tony Hawk's Pro Skater 2,PS,PS,2000,Sports,Activision,98,19,7.7,299,Neversoft Entertainment,T
0,The Lord of the Rings: The Two Towers,PS2,PS2,2002,Action,Electronic Arts,82,32,8.2,78,Stormfront Studios,T
0,Tomb Raider,PS,PS,1996,Action,Eidos Interactive,91,13,8.6,147,Core Design Ltd.,T
0,Animal Crossing: City Folk,Wii,Wii,2008,Simulation,Nintendo,73,50,7.6,119,Nintendo,E
0,Uncharted: The Nathan Drake Collection,PS4,PS4,2015,Action,Sony Computer Entertainment,86,78,8.1,1264,Bluepoint Games,T
0,The Legend of Zelda: A Link to the Past,SNES,SNES,1991,Action,Nintendo,,,,,,
0,The Legend of Zelda: The Wind Waker,GC,GC,2002,Action,Nintendo,96,80,8.9,968,Nintendo,E
0,Guitar Hero III: Legends of Rock,Wii,Wii,2007,Misc,Activision,86,36,8.4,87,Vicarious Visions,T
0,Luigi's Mansion: Dark Moon,3DS,3DS,2013,Action,Nintendo,86,74,8.4,458,Next Level Games,E
0,Forza Motorsport 4,X360,X360,2011,Racing,Microsoft Game Studios,91,83,8.2,617,Turn 10,E
0,Mario & Sonic at the Olympic Winter Games,Wii,Wii,2009,Sports,Sega,,,,,,
0,Madden NFL 2005,PS2,PS2,2004,Sports,Electronic Arts,91,30,7.9,78,EA Tiburon,E
0,Guitar Hero III: Legends of Rock,X360,X360,2007,Misc,Activision,85,69,7.9,165,Neversoft Entertainment,T
0,Pitfall!,2600,Atari2600,1981,Platform,Activision,,,,,,
0,Madden NFL 07,PS2,PS2,2006,Sports,Electronic Arts,84,29,8.2,39,EA Sports,E
0,Halo 5: Guardians,XOne,XOne,2015,Shooter,Microsoft Game Studios,84,101,6.4,2438,343 Industries,T
0,Spider-Man: The Movie,PS2,PS2,2002,Action,Activision,76,25,7.9,41,Treyarch,E
0,Dragon Quest VII: Warriors of Eden,PS,PS,2000,Role-Playing,Enix Corporation,,,,,,
0,Call of Duty: Infinite Warfare,PS4,PS4,2016,Shooter,Activision,77,82,3.4,1129,Infinity Ward,M
0,God of War,PS2,PS2,2005,Action,Sony Computer Entertainment,94,75,8.9,997,SCE Santa Monica,M
0,Splatoon,WiiU,WiiU,2015,Shooter,Nintendo,81,88,8.5,1184,Nintendo,E10+
0,Nintendo Land,WiiU,WiiU,2012,Misc,Nintendo,77,61,7.9,471,Nintendo,E10+
0,Tony Hawk's Pro Skater 3,PS2,PS2,2001,Sports,Activision,97,34,7.5,298,Neversoft Entertainment,T
0,Winning Eleven: Pro Evolution Soccer 2007,PS2,PS2,2006,Sports,Konami Digital Entertainment,86,19,8.9,33,Konami,E
0,The Elder Scrolls IV: Oblivion,X360,X360,2006,Role-Playing,Take-Two Interactive,94,90,8.7,1109,Bethesda Softworks,M
0,Zelda II: The Adventure of Link,NES,NES,1987,Adventure,Nintendo,,,,,,
0,Need for Speed: Most Wanted,PS2,PS2,2005,Racing,Electronic Arts,82,36,9.1,137,EA Canada,T
0,Michael Jackson: The Experience,Wii,Wii,2010,Misc,Ubisoft,56,37,8.3,31,"Ubisoft Paris, Ubisoft Montpellier",E10+
0,Call of Duty: Advanced Warfare,PS3,PS3,2014,Shooter,Activision,,,4.8,207,High Moon Studios,M
0,Resistance: Fall of Man,PS3,PS3,2006,Shooter,Sony Computer Entertainment,86,70,8.1,715,Insomniac Games,M
0,Sonic the Hedgehog,GEN,GEN,1991,Platform,Sega,,,,,,
0,Kingdom Hearts II,PS2,PS2,2005,Role-Playing,Square Enix,87,64,9.0,766,Square Enix,E10+
