Number of blanks,Name,Platform,Console,Year_of_Release,Genre,Publisher,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
0,Harry Potter and the Chamber of Secrets,PS2,PS2,2002,Action,Electronic Arts,71,16,7.6,49,Electronic Arts,E
0,Streets of Rage,GEN,GEN,1990,Action,Sega,,,,,,
0,God of War Collection,PS3,PS3,2009,Action,Sony Computer Entertainment,91,50,8.7,529,Bluepoint Games,M
0,NBA Live 2005,PS2,PS2,2004,Sports,Electronic Arts,84,21,8.1,44,EA Canada,E
0,Mario Strikers Charged,Wii,Wii,2007,Sports,Nintendo,79,47,8.0,124,Next Level Games,E10+
0,FIFA Soccer 09,PS3,PS3,2008,Sports,Electronic Arts,87,42,7.5,108,EA Canada,E
0,Style Savvy,DS,DS,2008,Simulation,Nintendo,73,4,7.7,7,syn Sophia,E
0,WWE SmackDown vs. RAW 2007,PS2,PS2,2006,Fighting,THQ,80,27,8.6,57,Yuke's,T
0,LEGO Star Wars: The Complete Saga,X360,X360,2007,Action,LucasArts,80,24,7.4,114,Traveller's Tales,E10+
0,Ratchet & Clank: Up Your Arsenal,PS2,PS2,2004,Platform,Sony Computer Entertainment,,,,,,
0,Madden NFL 08,PS2,PS2,2007,Sports,Electronic Arts,78,11,7.8,17,EA Tiburon,E
0,Monster Hunter Freedom 2,PSP,PSP,2007,Role-Playing,Capcom,72,38,8.7,83,Capcom,T
0,Ratchet & Clank Future: Tools of Destruction,PS3,PS3,2007,Platform,Sony Computer Entertainment,,,,,,
0,Super Mario All-Stars: Limited Edition,Wii,Wii,2010,Platform,Nintendo,,,,,,
0,Sonic Adventure 2 Battle,GC,GC,2001,Platform,Sega,73,28,8.3,179,Sonic Team,E
0,Dragon Warrior II,NES,NES,1987,Role-Playing,Enix Corporation,,,,,,
0,Ghostbusters: The Video Game (DS Version),X360,X360,2009,Action,Take-Two Interactive,,,,,,
0,Madden NFL 13,PS3,PS3,2012,Sports,Electronic Arts,83,22,5.5,101,EA Tiburon,E
0,Dragon Age: Origins,X360,X360,2009,Role-Playing,Electronic Arts,86,68,7.9,725,BioWare,M
0,Pokémon Colosseum,GC,GC,2003,Role-Playing,Nintendo,73,37,8.0,89,Genius Sonority Inc.,E
0,LittleBigPlanet,PSP,PSP,2009,Platform,Sony Computer Entertainment,87,68,7.8,98,"SCE/WWS, Media Molecule",E10+
0,Madden NFL 09,X360,X360,2008,Sports,Electronic Arts,83,50,7.0,125,EA Tiburon,E
0,Space Invaders,2600,Atari2600,,Shooter,Atari,,,,,,
0,Crazy Taxi,PS2,PS2,2001,Racing,Acclaim Entertainment,80,15,7.9,46,Acclaim Studios Cheltenham,T
0,Art Academy,DS,DS,2010,Misc,Nintendo,75,15,8.0,5,Headstrong Games,E
0,NBA 2K14,X360,X360,2013,Sports,Take-Two Interactive,87,23,4.9,150,Visual Concepts,E
0,Perfect Dark,N64,N64,2000,Action,Nintendo,,,,,,
0,Skylanders Giants,Wii,Wii,2012,Action,Activision,78,8,7.0,20,Toys for Bob,E10+
0,Dragon Warrior,NES,NES,1986,Role-Playing,Capcom,,,,,,
0,Deca Sports,Wii,Wii,2008,Sports,Konami Digital Entertainment,50,23,5.4,16,CAProduction,E
0,PES 2009: Pro Evolution Soccer,PS2,PS2,2008,Sports,Konami Digital Entertainment,,,,,,
0,Mario Party 2,N64,N64,1999,Misc,Nintendo,,,,,,
0,Marvel: Ultimate Alliance,X360,X360,2006,Role-Playing,Activision,82,68,7.5,120,Raven Software,T
0,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,XB,XB,2003,Action,Take-Two Interactive,,,,,,
0,Mortal Kombat: Deadly Alliance,PS2,PS2,2002,Fighting,Midway Games,79,31,8.8,96,Midway,M
0,Game Party,Wii,Wii,2007,Misc,Midway Games,25,8,4.3,26,Midway,E
0,Bloodborne,PS4,PS4,2015,Action,Sony Computer Entertainment,92,100,8.6,6383,From Software,M
0,Tomb Raider: The Last Revelation,PS,PS,1998,Action,Eidos Interactive,,,,,,
0,Mario Party 4,GC,GC,2002,Misc,Nintendo,70,26,7.4,74,Hudson,E
0,Pure,X360,X360,2008,Racing,Disney Interactive Studios,85,55,7.7,83,Black Rock Studio,E
0,Rock Band,X360,X360,,Misc,Electronic Arts,92,72,8.2,178,Harmonix Music Systems,T
0,NBA 2K13,PS3,PS3,2012,Sports,Take-Two Interactive,90,26,8.0,99,Visual Concepts,E
0,Saints Row: The Third,PS3,PS3,2011,Action,THQ,82,50,7.7,384,Volition Inc.,M
0,Resistance 2,PS3,PS3,2008,Shooter,Sony Computer Entertainment,87,79,6.1,1889,Insomniac Games,M
0,NBA 2K15,PS4,PS4,2014,Sports,Take-Two Interactive,83,50,7.0,291,Visual Concepts,E
0,Final Fantasy V,SNES,SNES,1992,Role-Playing,SquareSoft,,,,,,
0,Final Fantasy Tactics,PS,PS,1997,Role-Playing,SquareSoft,83,12,8.2,190,SquareSoft,T
0,Midnight Club: Los Angeles,PS3,PS3,2008,Racing,Take-Two Interactive,82,50,8.2,100,Rockstar San Diego,T
0,Twisted Metal 2,PS,PS,1996,Racing,Sony Computer Entertainment,,,,,,
0,The Sims: Bustin' Out,PS2,PS2,2003,Simulation,Electronic Arts,81,26,8.4,42,Maxis,T
0,Riven: The Sequel to Myst,PC,PC,1997,Adventure,Red Orb,83,12,,,Cyan Worlds,E
0,LEGO Harry Potter: Years 1-4,Wii,Wii,2010,Action,Warner Bros. Interactive Entertainment,79,13,8.0,34,Traveller's Tales,E10+
0,Need for Speed (2015),PS4,PS4,2015,Racing,Electronic Arts,,,,,,
0,Call of Duty: Infinite Warfare,XOne,XOne,2016,Shooter,Activision,78,17,3.1,290,Infinity Ward,M
0,Madden NFL 16,XOne,XOne,2015,Sports,Electronic Arts,84,23,6.1,124,EA Sports,E
0,Ice Hockey,NES,NES,1988,Sports,Nintendo,,,,,,
0,Sonic Adventure,DC,DC,1998,Platform,Sega,,,,,,
0,Tom Clancy's Rainbow Six: Vegas 2,X360,X360,2008,Shooter,Ubisoft,82,66,7.8,176,Ubisoft Montreal,M
0,uDraw Studio,Wii,Wii,2010,Misc,THQ,71,9,,,THQ,E
0,Tomb Raider (2013),PS3,PS3,2013,Action,Square Enix,,,,,,
0,Need for Speed Carbon: Own the City,PSP,PSP,2006,Racing,Electronic Arts,73,14,7.9,39,EA Canada,E10+
0,Dragon Ball Z: Budokai 2,PS2,PS2,2003,Fighting,Atari,66,28,8.2,92,Dimps Corporation,T
0,pro evolution soccer 2011,PS3,PS3,2010,Sports,Konami Digital Entertainment,77,40,6.8,85,Konami,E
0,ATV Offroad Fury,PS2,PS2,2001,Racing,Sony Computer Entertainment,82,16,8.4,53,Rainbow Studios,E
0,Dino Crisis,PS,PS,1998,Action,Capcom,,,,,,
0,Need for Speed: ProStreet,PS2,PS2,2007,Racing,Electronic Arts,62,11,6.2,34,Black Box,E10+
0,Halo: Combat Evolved Anniversary,X360,X360,2011,Shooter,Microsoft Game Studios,82,73,8.1,487,343 Industries,M
0,Tetris Plus,PS,PS,1996,Puzzle,JVC,,,,,,
0,Pro Wrestling,NES,NES,1987,Fighting,Nintendo,,,,,,
0,Theme Hospital,PC,PC,1997,Strategy,Electronic Arts,,,9.0,90,Bullfrog Productions,K-A
0,Frogger's Adventures: Temple of the Frog,GBA,GBA,,Adventure,Konami Digital Entertainment,73,4,,,Konami Computer Entertainment Hawaii,E
0,Monopoly,PC,PC,1994,Misc,Hasbro Interactive,,,,,,
1,,GEN,GEN,1993,,Acclaim Entertainment,,,,,,
0,Guitar Hero,PS2,PS2,2005,Misc,RedOctane,91,65,8.7,173,Harmonix Music Systems,T
0,Madden NFL 11,PS3,PS3,2010,Sports,Electronic Arts,83,36,6.1,68,EA Tiburon,E
0,WCW/nWo Revenge,N64,N64,1998,Fighting,THQ,,,,,,
0,Yu-Gi-Oh! The Duelists of the Roses,PS2,PS2,2001,Misc,Konami Digital Entertainment,,,,,,
0,Dead Island,X360,X360,2011,Action,Deep Silver,71,75,6.9,627,Techland,M
0,Half-Life 2,PC,PC,2004,Shooter,Vivendi Games,96,81,9.1,8665,Valve Software,M
0,The Incredibles,PS2,PS2,2004,Action,THQ,62,36,7.6,22,Heavy Iron Studios,T
0,Madden NFL 08,X360,X360,2007,Sports,Electronic Arts,85,46,6.4,108,EA Tiburon,E
0,Tony Hawk's Underground 2,PS2,PS2,2004,Sports,Activision,83,59,8.8,55,Neversoft Entertainment,T
0,Zumba Fitness,X360,X360,2010,Sports,505 Games,42,10,5.5,16,"Pipeworks Software, Inc.",E
0,Madden NFL 10,PS3,PS3,2009,Sports,Electronic Arts,85,41,6.8,58,EA Tiburon,E
0,Kirby's Dream Land 2,GB,GB,1995,Platform,Nintendo,,,,,,
0,Midnight Club: Los Angeles,X360,X360,2008,Racing,Take-Two Interactive,81,66,8.5,142,Rockstar San Diego,T
0,Donkey Kong Land II,GB,GB,1996,Platform,Nintendo,,,,,,
0,Dragon Warrior Monsters,GB,GB,1998,Role-Playing,Eidos Interactive,,,,,,
0,Kinect: Disneyland Adventures,X360,X360,2011,Misc,Microsoft Game Studios,73,33,2.9,67,Frontier Developments,E10+
0,WWE SmackDown vs Raw 2008,PS2,PS2,2007,Fighting,THQ,71,11,7.2,31,Yuke's,T
0,The Legend of Zelda: Majora's Mask 3D,3DS,3DS,2015,Action,Nintendo,89,82,9.0,478,GREZZO,E10+
0,LEGO Indiana Jones: The Original Adventures,Wii,Wii,,Action,LucasArts,78,22,6.6,28,Traveller's Tales,E10+
0,Resident Evil - Code: Veronica X,PS2,PS2,2001,Action,Capcom,84,21,8.4,189,Capcom,M
0,NBA 2K16,XOne,XOne,2015,Sports,Take-Two Interactive,86,14,6.2,115,Visual Concepts,E10+
0,Kinect Sports: Season Two,X360,X360,2011,Sports,Microsoft Game Studios,66,46,6.5,39,"Rare Ltd., BigPark",E
0,My Fitness Coach,Wii,Wii,2008,Sports,Ubisoft,,,8.6,16,Ubisoft,E
0,Mario Tennis,N64,N64,2000,Sports,Nintendo,,,,,,
0,Grand Theft Auto,PS,PS,1997,Action,Take-Two Interactive,,,,,,
0,James Bond 007: Everything or Nothing,PS2,PS2,2004,Shooter,Electronic Arts,84,42,9.1,51,EA Redwood Shores,T
0,Need For Speed: High Stakes,PS,PS,1999,Racing,Electronic Arts,86,14,8.5,28,EA Canada,E
0,Chrono Trigger,SNES,SNES,1995,Role-Playing,SquareSoft,,,,,,
0,Guild Wars 2,PC,PC,2012,Action,NCSoft,90,69,7.9,2954,ArenaNet,T
0,Cool Boarders 3,PS,PS,1998,Sports,989 Studios,,,,,,
0,Paper Mario: Sticker Star,3DS,3DS,2012,Role-Playing,Nintendo,75,69,5.6,382,Intelligent Systems,E
0,WarioWare Touched!,DS,DS,2004,Puzzle,Nintendo,,,,,,
0,Batman: Arkham Origins,PS3,PS3,2013,Action,Warner Bros. Interactive Entertainment,76,46,7.7,668,WB Games Montreal,T
0,Tomb Raider II,PC,PC,1997,Action,Eidos Interactive,,,8.3,37,Core Design Ltd.,
0,Yokai Watch Busters,3DS,3DS,2015,Action,Level 5,,,,,,
0,LEGO Star Wars: The Complete Saga,PS3,PS3,2007,Action,LucasArts,80,18,6.7,87,Traveller's Tales,E10+
0,Need for Speed Underground 2,XB,XB,2004,Racing,Electronic Arts,77,35,8.7,27,EA Canada,E
0,Pro Evolution Soccer 2010,PS3,PS3,2009,Sports,Konami Digital Entertainment,78,42,6.7,76,Konami,E
0,Mario Bros.,NES,NES,1983,Platform,Nintendo,,,,,,
0,FIFA Soccer 09,PS2,PS2,2008,Sports,Electronic Arts,82,8,6.9,20,EA Canada,E
0,LEGO Harry Potter: Years 1-4,DS,DS,2010,Action,Warner Bros. Interactive Entertainment,72,7,7.2,6,TT Fusion,E10+
0,The Sims 3,X360,X360,2010,Simulation,Electronic Arts,76,42,7.1,71,The Sims Studio,T
0,Pokemon Ranger: Shadows of Almia,DS,DS,2008,Role-Playing,Nintendo,68,24,8.2,27,"HAL Labs, Creatures Inc.",E
0,TOCA Touring Car Championship,PS,PS,1997,Racing,Codemasters,,,,,,
0,Dead Island,PS3,PS3,2011,Action,Deep Silver,71,41,6.6,405,Techland,M
0,Kirby: Nightmare in Dream Land,GBA,GBA,2002,Platform,Nintendo,81,24,8.9,54,HAL Labs,E
0,Wario Land 4,GBA,GBA,2001,Platform,Nintendo,88,17,8.9,42,Nintendo,E
0,Sonic's Ultimate Genesis Collection,PS3,PS3,2009,Misc,Sega,80,35,8.6,43,Backbone Entertainment,E10+
0,Far Cry: Primal,PS4,PS4,2016,Action,Ubisoft,76,91,6.3,635,Ubisoft Montreal,M
0,Battlefield 1,XOne,XOne,2016,Shooter,Electronic Arts,87,37,8.2,440,EA DICE,M
0,Onimusha 2: Samurai's Destiny,PS2,PS2,2002,Adventure,Capcom,84,31,9.0,52,Capcom,M
0,Cool Boarders 2,PS,PS,1997,Sports,UEP Systems,,,,,,
0,Paper Mario: The Thousand-Year Door,GC,GC,2004,Role-Playing,Nintendo,87,55,9.4,306,Intelligent Systems,E
0,Madden NFL 12,PS3,PS3,2011,Sports,Electronic Arts,79,31,5.5,56,EA Tiburon,E
0,God of War: Ascension,PS3,PS3,2013,Action,Sony Computer Entertainment,80,89,7.5,914,SCE Santa Monica,M
0,Guitar Hero III: Legends of Rock,PS3,PS3,2007,Misc,Activision,83,45,7.8,52,Neversoft Entertainment,T
0,Sonic Advance,GBA,GBA,2001,Platform,Sega,87,22,8.1,48,Sonic Team,E
0,Super Monkey Ball: Banana Blitz,Wii,Wii,2006,Misc,Sega,74,53,5.7,72,Sega,E
0,Just Dance Kids,Wii,Wii,2010,Misc,Ubisoft,,,,,Ubisoft,E
0,Call of Duty 3,Wii,Wii,,Shooter,Activision,69,42,6.7,61,Exakt,T
0,New Super Luigi U,WiiU,WiiU,2013,Platform,Nintendo,77,59,7.9,288,Nintendo,E
0,Assassin's Creed IV: Black Flag,XOne,XOne,2013,Action,Ubisoft,,,7.4,355,Ubisoft,M
0,Spyro: Season of Ice,GBA,GBA,2001,Platform,Vivendi Games,74,16,8.0,13,Digital Eclipse,E
0,Dissidia: Final Fantasy,PSP,PSP,2008,Fighting,Square Enix,79,61,8.0,139,Square Enix,T
0,Madden NFL 25,X360,X360,2013,Sports,Electronic Arts,80,32,5.6,136,EA Sports,E
0,Teenage Mutant Ninja Turtles II: The Arcade Game,NES,NES,1990,Action,Konami Digital Entertainment,,,,,,
0,Dance Dance Revolution X2,PS2,PS2,2009,Simulation,Konami Digital Entertainment,,,,,Konami,E10+
0,Borderlands 2,PS3,PS3,2012,Shooter,Take-Two Interactive,91,25,8.2,858,Gearbox Software,M
0,Prince of Persia: The Sands of Time,PS2,PS2,2003,Action,Ubisoft,92,44,8.8,204,Ubisoft,T
0,Monster Hunter Tri,Wii,Wii,2009,Role-Playing,Nintendo,84,70,8.6,219,Capcom,T
0,LEGO Marvel Super Heroes,X360,X360,2013,Action,Warner Bros. Interactive Entertainment,80,37,7.6,127,TT Games,E10+
0,The Legend of Zelda: Link's Awakening DX,GB,GB,1998,Adventure,Nintendo,,,,,,
0,Resident Evil 4,Wii,Wii,2007,Action,Capcom,,,,,,
0,Tom Clancy's Rainbow Six: Siege,PS4,PS4,2015,Shooter,Ubisoft,73,40,7.3,480,Ubisoft Montreal,M
0,Star Wars: The Force Unleashed,PS3,PS3,2008,Action,LucasArts,71,47,6.6,233,LucasArts,T
0,Devil May Cry 3: Dante's Awakening Special Edition,PS2,PS2,2006,Action,Capcom,,,,,,
0,Frogger,2600,Atari2600,1981,Action,Parker Bros.,,,,,,
0,Guitar Hero II,X360,X360,2007,Misc,Activision,92,55,8.1,220,Harmonix Music Systems,T
0,Forza Motorsport 5,XOne,XOne,2013,Racing,Microsoft Game Studios,79,76,5.9,1095,Turn 10,E
0,Rock Band 2,X360,X360,2008,Misc,Electronic Arts,92,69,8.3,156,Harmonix Music Systems,T
0,Pro Yakyuu Family Stadium,NES,NES,1986,Sports,Namco Bandai Games,,,,,,
0,Wario Land 3,GB,GB,2000,Platform,Nintendo,,,,,,
0,Need for Speed: Hot Pursuit,X360,X360,2010,Racing,Electronic Arts,88,73,7.0,206,Criterion Games,E10+
0,LEGO Indiana Jones: The Original Adventures,DS,DS,2008,Action,Activision,80,15,7.9,16,TT Fusion,E
0,BioShock 2,X360,X360,2010,Shooter,Take-Two Interactive,88,93,8.2,573,2K Marin,M
0,High School Musical: Makin' the Cut!,DS,DS,2007,Puzzle,Disney Interactive Studios,,,,,,
0,Star Wars: Knights of the Old Republic,XB,XB,2003,Role-Playing,Activision,94,72,9.2,317,BioWare,T
0,Kirby's Pinball Land,GB,GB,1992,Misc,Nintendo,,,,,,
0,Donkey Kong Country,GB,GB,2000,Platform,Nintendo,,,,,,
0,Madden NFL 15,PS4,PS4,2014,Sports,Electronic Arts,81,37,6.1,208,EA Sports,E
0,Pro Evolution Soccer 2012,PS3,PS3,2011,Action,Konami Digital Entertainment,80,41,6.6,132,Konami,E
0,Saints Row,X360,X360,2006,Action,THQ,81,74,7.5,211,Volition Inc.,M
0,Yu-Gi-Oh: Duel Monsters 4,GB,GB,2000,Role-Playing,Konami Digital Entertainment,,,,,,
0,ATV Offroad Fury 2,PS2,PS2,2002,Racing,THQ,82,26,8.9,28,Rainbow Studios,E
0,FIFA 15,XOne,XOne,2014,Sports,Electronic Arts,82,33,5.4,347,EA Sports,E
0,Mario & Luigi: Superstar Saga,GBA,GBA,2003,Role-Playing,Nintendo,,,,,,
0,Star Wars: Rogue Squadron,N64,N64,1998,Simulation,Nintendo,,,,,,
0,Tennis,NES,NES,1984,Sports,Nintendo,,,,,,
0,Tom Clancy's The Division,XOne,XOne,2016,Shooter,Ubisoft,80,33,6.9,614,Massive Entertainment,M
0,Final Fantasy XIII,X360,X360,2010,Role-Playing,Square Enix,82,54,6.3,539,Square Enix,T
0,The Sims: House Party,PC,PC,2001,Simulation,Electronic Arts,74,17,7.9,30,Maxis,T
0,Scribblenauts,DS,DS,2009,Puzzle,Warner Bros. Interactive Entertainment,79,72,7.6,110,5TH Cell,E10+
0,Sonic Unleashed,Wii,Wii,2008,Platform,Sega,66,30,7.3,136,Sonic Team,E10+
0,Syphon Filter 2,PS,PS,2000,Shooter,Sony Computer Entertainment,,,,,,
0,Pokemon Ranger,DS,DS,2006,Role-Playing,Nintendo,69,21,7.6,50,HAL Labs,E
0,Volleyball,NES,NES,1987,Sports,Nintendo,,,,,,
0,Skylanders SWAP Force,Wii,Wii,2013,Platform,Activision,,,6.6,5,Beenox,E10+
0,Overwatch,PS4,PS4,2016,Shooter,Activision,90,31,6.1,1358,Blizzard Entertainment,T
0,Hitman: Absolution,PS3,PS3,2012,Action,Square Enix,83,30,7.5,511,Io Interactive,M
0,SimCity 2000,PC,PC,1992,Simulation,Maxis,,,,,,
0,R.C. Pro-Am,NES,NES,1988,Racing,Nintendo,,,,,,
0,Super Mario RPG: Legend of the Seven Stars,SNES,SNES,1996,Role-Playing,Nintendo,,,,,,
0,Mahjong,NES,NES,1983,Misc,Nintendo,,,,,,
0,Demon Attack,2600,Atari2600,1981,Shooter,Imagic,,,,,,
0,Call of Duty: Roads to Victory,PSP,PSP,2007,Shooter,Activision,64,45,7.5,30,Amaze Entertainment,T
0,Dance Dance Revolution Extreme,PS2,PS2,2004,Simulation,Konami Digital Entertainment,77,26,9.0,20,KCET,E
0,Final Fantasy Tactics Advance,GBA,GBA,2003,Role-Playing,SquareSoft,87,44,7.8,212,Square Enix,E
0,Your Shape featuring Jenny McCarthy,Wii,Wii,2009,Sports,Ubisoft,62,5,5.2,54,Ubisoft,E
0,Project Gotham Racing,XB,XB,2001,Racing,Microsoft Game Studios,85,35,8.2,28,Bizarre Creations,E
0,Golf,GB,GB,1989,Sports,Nintendo,,,,,,
0,NBA 2K12,PS3,PS3,2011,Sports,Take-Two Interactive,90,38,6.7,127,Visual Concepts,E
0,Tony Hawk's Pro Skater,N64,N64,2000,Sports,Activision,,,,,,
0,Need for Speed: Hot Pursuit 2,PS2,PS2,2002,Racing,Electronic Arts,89,31,8.5,92,Black Box,E
0,PES 2009: Pro Evolution Soccer,PS3,PS3,2008,Sports,Konami Digital Entertainment,,,,,,
0,Dynasty Warriors 4,PS2,PS2,2003,Action,Tecmo Koei,78,24,9.3,201,Omega Force,T
0,NBA 2K14,PS3,PS3,2013,Sports,Take-Two Interactive,84,26,4.9,142,Visual Concepts,E
0,Parasite Eve,PS,PS,1998,Role-Playing,SquareSoft,81,17,8.9,89,SquareSoft,M
0,Tetris DS,DS,DS,2006,Puzzle,Nintendo,84,56,8.7,44,Nintendo,E
0,Project Gotham Racing (JP weekly sales),XB,XB,2002,Action,Microsoft Game Studios,,,,,,
0,Scooby-Doo! Night of 100 Frights,PS2,PS2,2002,Platform,THQ,,,,,,
0,Battlefield: Hardline,PS4,PS4,2015,Shooter,Electronic Arts,73,46,5.0,845,Visceral Games,M
0,Mortal Kombat,X360,X360,2011,Fighting,Warner Bros. Interactive Entertainment,86,66,8.3,382,NetherRealm Studios,M
0,Borderlands,PS3,PS3,2009,Shooter,Take-Two Interactive,83,58,7.9,427,Gearbox Software,M
0,Devil May Cry 3: Dante's Awakening,PS2,PS2,2005,Action,Capcom,84,60,9.0,212,Capcom,M
0,Derby Stallion,PS,PS,1997,Sports,ASCII Entertainment,,,,,,
0,NBA 2K11,X360,X360,2010,Action,Take-Two Interactive,89,50,8.1,100,Visual Concepts,E
0,Finding Nemo,PS2,PS2,2003,Action,THQ,,,,,,
0,Dying Light,PS4,PS4,2015,Action,Warner Bros. Interactive Entertainment,74,58,7.9,1287,Techland,M
0,Yokai Watch,3DS,3DS,2013,Role-Playing,Nintendo,,,,,,
0,Dead Rising,X360,X360,2006,Action,Capcom,85,82,7.6,520,Capcom,M
0,World of Warcraft: Cataclysm,PC,PC,2010,Role-Playing,Activision,90,53,5.6,953,Blizzard Entertainment,T
0,Tetris Worlds,PS2,PS2,2002,Puzzle,THQ,44,7,6.2,11,Blue Planet Software,E
0,Final Fantasy III,DS,DS,2006,Role-Playing,Square Enix,77,45,7.1,136,Matrix Software,E10+
0,Sim Theme Park,PC,PC,1998,Strategy,Electronic Arts,,,8.3,14,Bullfrog Productions,E
0,Mario Party 5,GC,GC,2003,Misc,Nintendo,69,33,8.2,57,Hudson,E
0,Rock Band,Wii,Wii,,Misc,MTV Games,80,21,6.3,37,Harmonix Music Systems,T
0,Warcraft: Orcs & Humans,PC,PC,1994,Strategy,Activision,,,,,,
0,Mario & Luigi: Dream Team,3DS,3DS,2013,Role-Playing,Nintendo,,,,,,
0,Portal 2,X360,X360,2011,Shooter,Valve Software,95,66,8.5,997,Valve Software,E10+
0,Mario Sports Mix,Wii,Wii,2010,Sports,Nintendo,64,54,7.1,34,Square Enix,E
0,Need for Speed: Most Wanted 5-1-0,PSP,PSP,2005,Racing,Electronic Arts,72,21,7.8,54,EA Canada,E10+
0,Spec Ops: Airborne Commando,PS,PS,2002,Shooter,Take-Two Interactive,,,,,,
0,The Sims 2: Pets,DS,DS,2006,Simulation,Electronic Arts,49,5,5.2,24,Full Fat,E
0,Dance Dance Revolution: Hottest Party,Wii,Wii,2007,Simulation,Konami Digital Entertainment,73,16,7.1,27,Konami,E10+
0,DriveClub,PS4,PS4,2014,Racing,Sony Computer Entertainment,71,85,6.1,1571,Evolution Studios,E
0,Yu-Gi-Oh! The Eternal Duelist Soul,GBA,GBA,2001,Strategy,Konami Digital Entertainment,,,,,,
0,UFC 2009 Undisputed,X360,X360,2009,Fighting,THQ,83,68,7.9,51,Yuke's,T
0,Metal Gear Solid: Peace Walker,PSP,PSP,2010,Action,Konami Digital Entertainment,89,66,8.9,443,Kojima Productions,T
0,Kirby's Epic Yarn,Wii,Wii,2010,Platform,Nintendo,,,,,,
0,Wipeout: The Game,Wii,Wii,2009,Misc,Mindscape,,,,,,
0,Pokemon Mystery Dungeon: Red/Blue Rescue Team,GBA,GBA,2005,Role-Playing,Nintendo,,,,,,
0,The Incredibles,GBA,GBA,2004,Action,THQ,55,13,,,Helixe,E
0,R4: Ridge Racer Type 4,PS,PS,1998,Racing,Namco Bandai Games,88,18,9.2,21,Namco,
0,Kingdom Hearts: Birth by Sleep,PSP,PSP,2010,Role-Playing,Square Enix,82,62,8.6,208,Square Enix,E10+
0,Tom Clancy's Splinter Cell: Conviction,X360,X360,2010,Action,Ubisoft,,,,,,
0,SoulCalibur II,PS2,PS2,2003,Fighting,Namco Bandai Games,92,41,8.8,120,Namco,T
0,Need for Speed: ProStreet,X360,X360,2007,Racing,Electronic Arts,72,42,7.1,78,EA Black Box,E10+
0,Sonic Mega Collection,GC,GC,2002,Misc,Infogrames,75,26,8.8,41,Sonic Team,E
0,Ghostbusters: The Video Game (DS Version),PS3,PS3,2010,Action,Take-Two Interactive,,,,,,
0,Madden NFL 15,X360,X360,2014,Sports,Electronic Arts,,,5.5,29,EA Sports,E
0,Need For Speed: Undercover,PS3,PS3,2008,Racing,Electronic Arts,59,40,5.9,71,EA Vancouver,T
0,Toy Story 3: The Video Game,DS,DS,2010,Action,Disney Interactive Studios,,,,,,
0,NBA Jam,GEN,GEN,1992,Sports,Arena Entertainment,,,,,,
0,SOCOM: U.S. Navy SEALs: Combined Assault,PS2,PS2,2006,Shooter,Sony Computer Entertainment,72,38,9.0,34,Zipper Interactive,T
0,Peter Jackson's King Kong: The Official Game of the Movie,PS2,PS2,2005,Action,Ubisoft,82,41,8.2,68,Ubisoft Montpellier,T
0,Need for Speed: ProStreet,PS3,PS3,2007,Racing,Electronic Arts,73,26,6.0,43,EA Black Box,E10+
0,Donkey Kong Country,GBA,GBA,2003,Platform,Nintendo,78,26,8.9,53,Rare Ltd.,E
0,Dance Central 2,X360,X360,2011,Misc,Microsoft Game Studios,86,56,8.2,63,Harmonix Music Systems,T
0,PGR4 - Project Gotham Racing 4,X360,X360,2007,Racing,Microsoft Game Studios,,,,,,
0,1080°: TenEighty Snowboarding,N64,N64,1998,Sports,Nintendo,,,,,,
0,Carnival Games,DS,DS,2008,Misc,Take-Two Interactive,48,11,3.3,4,Cat Daddy Games,E
0,NBA Live 2004,PS2,PS2,2003,Sports,Electronic Arts,86,19,7.7,41,EA Sports,E
0,Call of Duty 2,X360,X360,2005,Shooter,Activision,89,65,8.1,307,Infinity Ward,T
0,Rayman Raving Rabbids: TV Party,Wii,Wii,2008,Misc,Ubisoft,73,24,7.7,29,"Ubisoft Paris, Ubisoft Montpellier",E10+
0,Pokémon Mystery Dungeon: Blue Rescue Team,DS,DS,2005,Role-Playing,Nintendo,62,34,8.1,97,ChunSoft,E
0,Dark Souls,PS3,PS3,2011,Role-Playing,Namco Bandai Games,89,54,8.7,1397,From Software,M
0,Just Dance 3,X360,X360,2011,Misc,Ubisoft,70,34,7.7,17,Ubisoft,E10+
0,Battlefield 4,XOne,XOne,2013,Shooter,Electronic Arts,81,5,6.6,480,EA DICE,M
0,Fire Emblem: Awakening,3DS,3DS,2012,Role-Playing,Nintendo,92,72,9.1,1130,Intelligent Systems,T
0,Need for Speed: The Run,PS3,PS3,2011,Action,Electronic Arts,64,48,6.4,182,Black Box,T
0,Just Dance 2015,Wii,Wii,2014,Misc,Ubisoft,,,8.4,5,Ubisoft,E10+
0,Dragon Age: Inquisition,PS4,PS4,2014,Role-Playing,Electronic Arts,89,43,7.4,1984,BioWare,M
0,Super Street Fighter II,SNES,SNES,1993,Fighting,Nintendo,,,,,,
0,Dead Space,PS3,PS3,2008,Action,Electronic Arts,88,67,8.8,545,EA Redwood Shores,M
0,Mortal Kombat vs. DC Universe,PS3,PS3,2008,Fighting,Midway Games,76,44,7.1,107,Midway,T
